0;1;2;3;4;5;6;7;8;9;10;11;12
;;ISIN;;;Libellé;;;Type;;;Montant (MDT);
;TN0002601045;STB 2010-1 CB;Paiement de coupons;0,19;;;;;;;;
;TN0002601045;STB 2010-1 CB;Remboursement à l’échéance;3,56;;;;;;;;
;TN0003400637;AMEN BANK SUB 2020-2 CA TF;Paiement de coupons;0,06;;;;;;;;
;TN2IZUUEVOY3;CFE TUNISIE 2023-1 TV;Remboursement partiel;2,17;;;;;;;;
;TN2IZUUEVOY3;CFE TUNISIE 2023-1 TV;Paiement de coupons;0,96;;;;;;;;
;TN88JDDM1JY5;ATTIJARI LEASING 2024-1 TV;Remboursement partiel;0,10;;;;;;;;
;TN88JDDM1JY5;ATTIJARI LEASING 2024-1 TV;Paiement de coupons;0,05;;;;;;;;
;TNL2EDWR1XN6;CFE TUNISIE 2023-1 TF;Remboursement partiel;0,83;;;;;;;;
;TNL2EDWR1XN6;CFE TUNISIE 2023-1 TF;Paiement de coupons;0,37;;;;;;;;
;TNO6AI2ZF0D3;ATTIJARI LEASING 2024-1 TF;Remboursement partiel;5,90;;;;;;;;
;TNO6AI2ZF0D3;ATTIJARI LEASING 2024-1 TF;Paiement de coupons;3,13;;;;;;;;
