0;1;2;3;4;5;6;7;8;9;10;11
;SIN;;;Libellé;;;Type;;;Montant (MDT);
TNAGSVAWF5T2;H LEASE 2023-1 CB TV;Remboursement partiel;2,59;;;;;;;;
TNAGSVAWF5T2;H LEASE 2023-1 CB TV;Paiement de coupons;1,10;;;;;;;;
TNL7VQZVHR54;H LEASE 2023-1 CA TF;Remboursement partiel;5,41;;;;;;;;
TNL7VQZVHR54;H LEASE 2023-1 CA TF;Paiement de coupons;2,33;;;;;;;;
