0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37
ISIN;SIN;Libellé;Libellé;;;Nombre;;Nombre Titres;Nombre Titres;Montant (mdt);Montant (mdt);Taux sur l'Année;Taux sur l'Année;;Date;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;Opérations;dernière;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;2024;;;2025;;;2024;;;2025;;;2024;;;2025;;;Plus Bas;;;;Plus Haut;;;TMP;;;Opération;
TNLRQIP0OJY4;BTA 9% septembre 2029;;2;5;1 609;31 500;1 610,631;32 626,008;9,36%;;9,82%;9,36%;-;;;;;;;;;;;;;;;;;;;;;;;;
TN0008000739;BTA 7,4%Févr 2030;;8;-;62 001;-;30 405,688;-;-;;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
TN0008000762;BTA 8% Novembre 2030;;4;-;2 650;-;2 391,052;-;-;;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
TNN0SOORH1F1;BTA 8,25% juin 2031;;2;-;5 086;-;4 940,938;-;-;;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
TNOODT102PF5;BTA 9,87% 22 Octobre 2031;;9;-;103 414;-;55 224,576;-;-;;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
TNCYAUILJ413;BTA 9,87% 08 Janvier 2032;;-;15;-;113 898;-;114 785,473;9,85%;;9,87%;9,85%;08/01/2025;;;;;;;;;;;;;;;;;;;;;;;;
TN0008000663;BTA 7,5% 07/2032;;5;-;428;-;378,203;-;-;;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
TNI5BPOGW9F1;BTA 9,89% 13 Juin 2033;;13;4;85 850;22 950;86 035,178;23 179,481;9,83%;;9,84%;9,83%;06/01/2025;;;;;;;;;;;;;;;;;;;;;;;;
TNNUS2JABSF6;BTA 9,40% août 2033;;-;3;-;36 021;-;38 572,743;9,48%;;9,51%;9,48%;-;;;;;;;;;;;;;;;;;;;;;;;;
TNGNCCQYSMR1;BTA 9.9% decembre 2033;;1;-;141 844;-;-;-;-;;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
TNV7HGOLTYL8;BTA 9,83% 28 mars 2034;;-;12;-;93 700;-;93 721,265;9,82%;;10,00%;9,82%;-;;;;;;;;;;;;;;;;;;;;;;;;
TNBF55WVBO32;BTA 9,49% 16062034;;-;8;-;82 050;-;82 050,000;9,49%;;9,49%;9,49%;-;;;;;;;;;;;;;;;;;;;;;;;;
TN19GXXADLD0;BTA 9,50% août 2035;;-;1;-;15 688;-;16 923,803;9,50%;;9,50%;9,50%;-;;;;;;;;;;;;;;;;;;;;;;;;
