0;1;2;3;4;5
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;1 490;0,150;102;8,990
TNRS9CVT3SJ7;EMP NAT 2023 T3 CB TV;80 000;8,000;182;9,100
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;11 500;1,150;10;9,600
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;68 600;6,860;10;9,600
TN3C6DVEWM76;EMP NAT 2023 T1 CB TV;20 000;2,000;24;9,000
TN0008000622;BTA 6,3% Mars 2026;41 632;43,800;30;8,990
TN0008000747;BTA 7,2% Mai 2027;1 814;1,900;30;8,800
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;129 055;13,000;15;8,990
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;993;0,999;78;8,990
