0;1;2
TNPDPODY2398;EMP NAT 2024 T3 CC TF;1,21
TNRS9CVT3SJ7;EMP NAT 2023 T3 CB TV;1,24
TNVE955M6R90;EMP NAT 2023 T3 CB TF;0,41
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;5,08
