0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
;;Date;;;Code ISIN;;;Libellé;;;Nombre;;;ombre;;;Montant;;;Prix;;;TMP;
;;;;;;;;'Opératio;;de Titres;e Titres;(mDT);(mDT);Plus Bas;Plus Bas;Plus Haut;lus Haut;PMP;PMP;;;;;
;;;;s;;;;;;;;;;;;;;;;;;;;
;"10/03/2025";TN0008000739;BTA 7,4% Fevrier 2030;1;89;81,227;91,267;91,267;91,267;-;;;;;;;;;;;;;;
