0;1;2;3;4;5;6;7;8;9;10;11
;SIN;;;Libellé;;;Type;;;Montant (MDT);
TN0004201471;CIL 2020-1 TF;Remboursement à l’échéance;1,50;;;;;;;;
TN0004201471;CIL 2020-1 TF;Paiement de coupons;0,08;;;;;;;;
TN0007410012;ENNAKL AUTOMOBILES (AA);Dividende;23,76;;;;;;;;
