0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
;Date;;;Code ISIN;;;Libellé;;;Nombre;;;Nombre;;;Montant;;;Prix;;;TMP;
;;;;;;;'Opératio;;de Titres;e Titres;(mDT);(mDT);Plus Bas;Plus Bas;Plus Haut;lus Haut;PMP;PMP;;;;;
;;;s;;;;;;;;;;;;;;;;;;;;
18/03/2025;TN0008000739;BTA 7,4% Fevrier 2030;1;20;18,300;91,499;91,499;91,499;-;;;;;;;;;;;;;;
18/03/2025;TN0008000747;BTA 7,2% Mai 2027;1;25;25,384;101,535;101,535;101,535;-;;;;;;;;;;;;;;
