iter	RMSE
0	7.569389504
1	7.225865531
2	6.881528355
3	6.569208293
4	6.335995364
5	6.108340845
6	5.897578884
7	5.689341424
8	5.517625227
9	5.357588502
10	5.227670952
11	5.080657495
12	4.958943455
13	4.868899183
14	4.784585839
15	4.703334434
16	4.629158434
17	4.55208479
18	4.500587737
19	4.424313014
20	4.381284778
21	4.350345481
22	4.302219414
23	4.26158135
24	4.228779651
25	4.191319839
26	4.14692831
27	4.118001374
28	4.101248582
29	4.079165645
30	4.040252462
31	4.019171558
32	3.993267547
33	3.97269512
34	3.937502381
35	3.924474714
36	3.882837201
37	3.850212988
38	3.824180974
39	3.800815858
40	3.782220995
41	3.757954265
42	3.745712932
43	3.723424083
44	3.701094915
45	3.686920808
46	3.676454071
47	3.665440758
48	3.647607009
49	3.625395198
50	3.615426302
51	3.596842326
52	3.582770034
53	3.564783253
54	3.549929663
55	3.543896315
56	3.53510442
57	3.524692521
58	3.51024039
59	3.498288479
60	3.48422103
61	3.463693265
62	3.450728265
63	3.435603192
64	3.431250235
65	3.403953475
66	3.384863997
67	3.378070837
68	3.356846451
69	3.341791379
70	3.337386773
71	3.328220577
72	3.310195237
73	3.300283822
74	3.283209973
75	3.273188279
76	3.264652503
77	3.252401262
78	3.246120695
79	3.236732139
80	3.225034524
81	3.20952076
82	3.190791245
83	3.169982206
84	3.158231499
85	3.154251194
86	3.13561889
87	3.120485556
88	3.102685744
89	3.099264105
90	3.084089126
91	3.075438315
92	3.068428952
93	3.055816342
94	3.043525779
95	3.038582975
96	3.021449955
97	3.011873574
98	2.997834681
99	2.985546914
100	2.981822582
101	2.97476545
102	2.970004382
103	2.959115307
104	2.95137418
105	2.936476156
106	2.925721522
107	2.911766362
108	2.906646377
109	2.890342467
110	2.873660903
111	2.852441072
112	2.847788532
113	2.832658197
114	2.822294282
115	2.81246461
116	2.805445214
117	2.795674912
118	2.786876912
119	2.776609645
120	2.772665213
121	2.764799252
122	2.7580547
123	2.74751978
124	2.735324735
125	2.724451718
126	2.713924333
127	2.701511871
128	2.694322603
129	2.683038678
130	2.678613923
131	2.667690124
132	2.667391172
133	2.653379474
134	2.645877111
135	2.636651823
136	2.631219613
137	2.62195304
138	2.61540817
139	2.60824908
140	2.602886641
141	2.601124838
142	2.594077386
143	2.593538137
144	2.58135056
145	2.576692682
146	2.571715888
147	2.564056937
148	2.557066773
149	2.550092322
150	2.545356872
151	2.535728803
152	2.530066131
153	2.523074105
154	2.50998784
155	2.504901947
156	2.499044787
157	2.493807635
158	2.488281672
159	2.483508686
160	2.474386598
161	2.468465171
162	2.455588448
163	2.451117057
164	2.439782586
165	2.429758908
166	2.425794278
167	2.417386133
168	2.412812894
169	2.407047162
170	2.402003915
171	2.398879303
172	2.394900391
173	2.394227848
174	2.389024767
175	2.381457245
176	2.378416689
177	2.3731279
178	2.366213261
179	2.363770118
180	2.353184361
181	2.344812709
182	2.333918802
183	2.324460764
184	2.317580645
185	2.310392836
186	2.301920881
187	2.297440253
188	2.291163097
189	2.283509387
190	2.276773177
191	2.272507437
192	2.267520189
193	2.259425411
194	2.255343583
195	2.247290429
196	2.243432635
197	2.233884436
198	2.225255264
199	2.218148284
200	2.215487514
201	2.210922214
202	2.206502735
203	2.201918431
204	2.196010556
205	2.192243652
206	2.185138611
207	2.179031523
208	2.174032943
209	2.170336305
210	2.166601921
211	2.163202861
212	2.153523795
213	2.147113753
214	2.134927078
215	2.124337295
216	2.114010421
217	2.105000563
218	2.100170958
219	2.093719386
220	2.091045409
221	2.083014291
222	2.076863266
223	2.073846571
224	2.064620885
225	2.057961535
226	2.052710425
227	2.046781442
228	2.038683434
229	2.032676194
230	2.028767947
231	2.024388833
232	2.022222414
233	2.017773867
234	2.013759576
235	2.009175398
236	2.003877133
237	1.999883238
238	1.995174436
239	1.990603139
240	1.986160032
241	1.98085668
242	1.977205481
243	1.972265411
244	1.968229907
245	1.966235514
246	1.961404942
247	1.956746094
248	1.954739408
249	1.951286964
250	1.948788067
251	1.946101233
252	1.941261344
253	1.938571473
254	1.934179434
255	1.929951227
256	1.928470364
257	1.923822446
258	1.918094414
259	1.914458528
260	1.911417629
261	1.907638347
262	1.904536627
263	1.901727156
264	1.898321328
265	1.891762327
266	1.891070989
267	1.888273703
268	1.887112074
269	1.883155391
270	1.879678768
271	1.874926733
272	1.871642361
273	1.871086913
274	1.867641253
275	1.86202487
276	1.857139241
277	1.854959974
278	1.850730287
279	1.849035583
280	1.843835521
281	1.838510378
282	1.837895419
283	1.833497852
284	1.827491253
285	1.826935774
286	1.825578968
287	1.822021589
288	1.820435901
289	1.817463973
290	1.815071911
291	1.810342965
292	1.808701185
293	1.805622661
294	1.8028761
295	1.799646303
296	1.795908858
297	1.794412445
298	1.791264051
299	1.786253726
